bairro_origem,bairro_destino,nome_logradouro,distancia
Boa Vista,Paissandu,Avenida Lins Petit,497.51
Boa Vista,Soledade,Avenida Manoel Borba,992.76
Bongi,Mustardinha,Avenida Manoel Goncalves da Luz,1222.91
Boa Viagem,Ibura,Avenida Marechal Mascarenhas de Moraes,5557.85
Boa Viagem,Imbiribeira,Avenida Marechal Mascarenhas de Moraes,10549.41
Boa Viagem,Jordão,Avenida Marechal Mascarenhas de Moraes,1941.04
Ibura,Imbiribeira,Avenida Marechal Mascarenhas de Moraes,12806.92
Ibura,Jordão,Avenida Marechal Mascarenhas de Moraes,4198.55
Ibura,Jordão,Avenida Maria Irene,1967.5
Cordeiro,Iputinga,Avenida Mário Álvares Pereira de Lyra,2343.65
Cordeiro,Iputinga,Avenida Mauricio de Nassau,2514.97
Afogados,Mustardinha,Avenida Mustardinha,834.73
Alto José do Pinho,Casa Amarela,Avenida Norte Miguel Arraes de Alencar,3445.6
Alto José do Pinho,Mangabeira,Avenida Norte Miguel Arraes de Alencar,750.49
Alto José do Pinho,Morro da Conceição,Avenida Norte Miguel Arraes de Alencar,966.85
Alto do Mandu,Apipucos,Avenida Norte Miguel Arraes de Alencar,1051.93
Alto do Mandu,Casa Amarela,Avenida Norte Miguel Arraes de Alencar,3408.92
Alto do Mandu,Macaxeira,Avenida Norte Miguel Arraes de Alencar,2847.92
Alto do Mandu,Nova Descoberta,Avenida Norte Miguel Arraes de Alencar,655.79
Apipucos,Córrego do Jenipapo,Avenida Norte Miguel Arraes de Alencar,905.91
Apipucos,Macaxeira,Avenida Norte Miguel Arraes de Alencar,2751.48
Casa Amarela,Mangabeira,Avenida Norte Miguel Arraes de Alencar,2974.36
Casa Amarela,Morro da Conceição,Avenida Norte Miguel Arraes de Alencar,3190.72
Casa Amarela,Nova Descoberta,Avenida Norte Miguel Arraes de Alencar,2916.34
Casa Amarela,Tamarineira,Avenida Norte Miguel Arraes de Alencar,4796.53
Casa Amarela,Vasco da Gama,Avenida Norte Miguel Arraes de Alencar,3686.43
Córrego do Jenipapo,Macaxeira,Avenida Norte Miguel Arraes de Alencar,2701.9
Córrego do Jenipapo,Nova Descoberta,Avenida Norte Miguel Arraes de Alencar,509.77
Encruzilhada,Espinheiro,Avenida Norte Miguel Arraes de Alencar,3021.29
Encruzilhada,Rosarinho,Avenida Norte Miguel Arraes de Alencar,2776.7
Encruzilhada,Torreão,Avenida Norte Miguel Arraes de Alencar,2406.39
Espinheiro,Santo Amaro,Avenida Norte Miguel Arraes de Alencar,4036.84
Espinheiro,Torreão,Avenida Norte Miguel Arraes de Alencar,1135.74
Macaxeira,Nova Descoberta,Avenida Norte Miguel Arraes de Alencar,2355.34
Mangabeira,Tamarineira,Avenida Norte Miguel Arraes de Alencar,2101.42
Morro da Conceição,Vasco da Gama,Avenida Norte Miguel Arraes de Alencar,1207.69
Nova Descoberta,Vasco da Gama,Avenida Norte Miguel Arraes de Alencar,933.3
Rosarinho,Tamarineira,Avenida Norte Miguel Arraes de Alencar,2592.52
Santo Amaro,Torreão,Avenida Norte Miguel Arraes de Alencar,3421.94
Cajueiro,Fundão,Avenida Nova do Fundão,550.74
Sancho,Tejipió,Avenida Padre Ibiapina,798.33
Curado,Jardim São Paulo,Avenida Piracicaba,1084.77
Campina do Barreto,Peixinhos,Avenida Poeta Vinícius de Morais,533.82
Brejo da Guabiraba,Brejo de Beberibe,Avenida Presidente Café Filho,133.4
Brejo da Guabiraba,Passarinho,Avenida Presidente Café Filho,114.06
Brejo de Beberibe,Passarinho,Avenida Presidente Café Filho,58.0
Ibura,Imbiribeira,Avenida Presidente Dutra,2752.45
Cidade Universitária,Várzea,Avenida Professor Artur de Sá,1218.66
Arruda,Campo Grande,Avenida Professor José dos Anjos,4445.24
Arruda,Mangabeira,Avenida Professor José dos Anjos,3153.96
Arruda,Peixinhos,Avenida Professor José dos Anjos,3034.36
Arruda,Ponto de Parada,Avenida Professor José dos Anjos,2947.1
Arruda,Rosarinho,Avenida Professor José dos Anjos,2534.02
Arruda,Tamarineira,Avenida Professor José dos Anjos,3618.09
Campo Grande,Peixinhos,Avenida Professor José dos Anjos,2615.89
Campo Grande,Ponto de Parada,Avenida Professor José dos Anjos,2528.63
Casa Amarela,Mangabeira,Avenida Professor José dos Anjos,1291.58
Casa Amarela,Tamarineira,Avenida Professor José dos Anjos,1755.71
Mangabeira,Tamarineira,Avenida Professor José dos Anjos,1908.33
Ponto de Parada,Rosarinho,Avenida Professor José dos Anjos,617.41
Rosarinho,Tamarineira,Avenida Professor José dos Anjos,1288.4
Cidade Universitária,Curado,Avenida Professor Luiz Freire,1205.38
