bairro_origem,bairro_destino,nome_logradouro
Mangabeira,Tamarineira,AV NORTE MIGUEL ARRAES DE ALENCAR
Mangabeira,Tamarineira,AV PROFESSOR JOSE DOS ANJOS
Mangueira,Mustardinha,RUA VINTE E UM DE ABRIL
Mangueira,San Martin,RUA BOM JARDIM
Mangueira,San Martin,RUA TANGUARA
Mangueira,San Martin,RUA VINTE E UM DE ABRIL
Morro da Conceição,Vasco da Gama,AV NORTE MIGUEL ARRAES DE ALENCAR
Morro da Conceição,Vasco da Gama,LGO DOM LUIZ
Morro da Conceição,Vasco da Gama,RUA CORREGO DO OURO
Morro da Conceição,Vasco da Gama,RUA DOIS DE FEVEREIRO
Morro da Conceição,Vasco da Gama,RUA ITAGUATIARA
Mustardinha,San Martin,AV CONSUL VILARES FRAGOSO
Mustardinha,San Martin,RUA DOM EXPEDITO LOPES
Mustardinha,San Martin,RUA ITAQUARI
Mustardinha,San Martin,RUA VINTE E UM DE ABRIL
Nova Descoberta,Vasco da Gama,AV NORTE MIGUEL ARRAES DE ALENCAR
Nova Descoberta,Vasco da Gama,RUA ALTO 13 DE MAIO
Nova Descoberta,Vasco da Gama,RUA ALTO DA FAVELA
Nova Descoberta,Vasco da Gama,RUA ARAPIRACA
Nova Descoberta,Vasco da Gama,RUA ASSUNCAO
Nova Descoberta,Vasco da Gama,RUA BEMPOSTA
Nova Descoberta,Vasco da Gama,RUA BRASITANIA
Nova Descoberta,Vasco da Gama,RUA LUIZ CESARIO DE MELO
Nova Descoberta,Vasco da Gama,RUA N S DA AJUDA
Nova Descoberta,Vasco da Gama,RUA PARAISOPOLIS
Nova Descoberta,Vasco da Gama,RUA VASCO DA GAMA
Parnamirim,Santana,AV DEZESSETE DE AGOSTO
Parnamirim,Santana,PRC JORNALISTA FRANCISCO PESSOA DE QUEIROZ
Parnamirim,Santana,RUA LEONARDO BEZERRA CAVALCANTI
Parnamirim,Tamarineira,RUA ALBINO MEIRA
Parnamirim,Tamarineira,RUA DES GOIS CAVALCANTE
Parnamirim,Tamarineira,RUA PADRE ROMA
Pina,São José,RUA BACIA DO PINA
Ponto de Parada,Rosarinho,AV PROFESSOR JOSE DOS ANJOS
Ponto de Parada,Rosarinho,AV SANTOS DUMONT
Ponto de Parada,Rosarinho,RUA ALMIRANTE NORONHA DE CARVALHO
Ponto de Parada,Rosarinho,RUA COUTO MAGALHAES
Ponto de Parada,Rosarinho,RUA SALVADOR DE SA
Ponto de Parada,Rosarinho,RUA TREZE DE JUNHO
Porto da Madeira,Água Fria,AV ANIBAL BENEVOLO
Porto da Madeira,Água Fria,AV BEBERIBE
Porto da Madeira,Água Fria,RUA CONS BARROS BARRETO
Porto da Madeira,Água Fria,RUA JUDITH
Prado,San Martin,AV ENGENHEIRO ABDIAS DE CARVALHO
Prado,San Martin,AV GENERAL SAN MARTIN
Prado,Zumbi,RUA CARATINGA
Prado,Zumbi,RUA GOMES TABORDA
Recife,Santo Amaro,RUA CAPIBARIBE-RIO
Recife,Santo Antônio,RUA CAPIBARIBE-RIO
Recife,São José,RUA CAPIBARIBE-RIO
Rosarinho,Tamarineira,AV ENGENHEIRO AGAMENON DE MAGALHAES MELO
Rosarinho,Tamarineira,AV NORTE MIGUEL ARRAES DE ALENCAR
Rosarinho,Tamarineira,AV PROFESSOR JOSE DOS ANJOS
Rosarinho,Tamarineira,RUA CAPITAO SAMPAIO XAVIER
Rosarinho,Tamarineira,RUA DR JOSE MARIA
Rosarinho,Tamarineira,RUA GENERAL ABREU E LIMA
San Martin,Torrões,AV ENGENHEIRO ABDIAS DE CARVALHO
San Martin,Torrões,AV RECIFE
San Martin,Torrões,RUA DELMIRO GOUVEIA
San Martin,Torrões,RUA DR FLAVIO FERREIRA DA SILVA MAROJO
San Martin,Torrões,RUA QUINZE DE MARCO
San Martin,Torrões,RUA VINTE E UM DE ABRIL
Sancho,Tejipió,AV LIBERDADE
Sancho,Tejipió,AV PADRE IBIAPINA
Sancho,Tejipió,RUA APRIGIO GUIMARAES
Sancho,Tejipió,RUA MATOSO DA CAMARA
Sancho,Totó,AV LIBERDADE
Sancho,Totó,RUA DO NASCENTE
Sancho,Totó,RUA PAULINO DE FARIAS
Santana,Torre,AV BEIRA RIO
Santana,Torre,RUA CAPIBARIBE-RIO
Santo Amaro,Santo Antônio,RUA CAPIBARIBE-RIO
Santo Amaro,Santo Antônio,RUA DA AURORA
Santo Amaro,Santo Antônio,RUA PRINCESA ISABEL
Santo Amaro,Soledade,AV JOAO DE BARROS
Santo Amaro,Soledade,RUA BISPO CARDOSO AYRES
Santo Amaro,Soledade,RUA DO PRINCIPE
Santo Amaro,Soledade,RUA GERVASIO PIRES
Santo Amaro,Torreão,AV GOVERNADOR AGAMENON MAGALHAES
Santo Amaro,Torreão,AV NORTE MIGUEL ARRAES DE ALENCAR
Santo Antônio,São José,AV DANTAS BARRETO
Santo Antônio,São José,C SANTA RITA
Santo Antônio,São José,PRC DOM VITAL
Santo Antônio,São José,RUA CAPIBARIBE-RIO
Santo Antônio,São José,RUA DA CONCORDIA
Santo Antônio,São José,RUA DA PALMA
Santo Antônio,São José,RUA DAS AGUAS VERDES
Santo Antônio,São José,RUA DIREITA
Santo Antônio,São José,RUA DO PORAO
Santo Antônio,São José,RUA FLORIANO PEIXOTO
Santo Antônio,São José,RUA TOBIAS BARRETO
Santo Antônio,São José,RUA VINTE E QUATRO DE MAIO
Santo Antônio,São José,TRV DO CAIS DA DETENCAO
Santo Antônio,São José,TRV DO MERCADO
Torre,Zumbi,RUA DIOGO ALVARES
Torre,Zumbi,RUA DOM MANOEL DA COSTA
Torre,Zumbi,RUA SOUZA BANDEIRA
