bairro_origem,bairro_destino,logradouro,peso
Beberibe,Porto da Madeira,Rua Dona Virtuosa De Lucena,276.19
Torre,Zumbi,Rua Souza Bandeira,277.3
Estância,Jiquiá,Rua Andre Vieira De Melo,278.76
Morro da Conceição,Vasco da Gama,Rua Corrego Do Ouro,279.5
Casa Amarela,Parnamirim,Rua Da Estrela,280.12
Aflitos,Encruzilhada,Rua Teles Junior,285.06
Boa Vista,Soledade,Rua Osvaldo Cruz,285.64
Encruzilhada,Ponto de Parada,Rua Deputado Pedro Velho,285.99
Fundão,Porto da Madeira,Avenida Anibal Benevolo,287.89
Alto Santa Teresinha,Bomba do Hemetério,Rua Arlindo Cisneiros,288.0
Recife,Santo Antônio,Ponte Buarque de Macedo,288.0
Brejo da Guabiraba,Brejo de Beberibe,Rua Francisco Camarino,288.05
Torre,Zumbi,Rua Diogo Alvares,288.76
Casa Forte,Parnamirim,Rua Dona Rita De Souza,289.98
Alto Santa Teresinha,Linha do Tiro,Rua Alto da Serrinha,290.0
Cordeiro,Torrões,Rua Ijui,291.72
Ibura,Jordão,Rua Barra Dos Coqueiros,292.48
Casa Forte,Parnamirim,Rua Lemos Torres,292.67
Encruzilhada,Hipódromo,Rua Costa Pinto,293.18
Arruda,Ponto de Parada,Rua Petronila Botelho,294.86
Cidade Universitária,Várzea,Rua Isaac Buril,295.33
Estância,Jiquiá,Rua Botuvera,295.51
Encruzilhada,Ponto de Parada,Rua Mem De Sa,296.04
Água Fria,Fundão,Rua Conselheiro Barros Barreto,296.26
Brejo de Beberibe,Vasco da Gama,Rua Grijalva Costa,298.99
Coelhos,Santo Antônio,Rua Doutor Jose Mariano,299.14
Recife,Santo Amaro,Ponte do Limoeiro,300.0
Cohab,Barro,Avenida Sonho Real,306.0
Beberibe,Porto da Madeira,Rua Marajo,308.27
Campo Grande,Torreão,Rua Da Fronteira,309.43
Madalena,Prado,Rua Virginio Campelo,310.35
Nova Descoberta,Vasco da Gama,Rua Alto Da Favela,310.87
Jaqueira,Parnamirim,Rua Muniz Tavares,311.31
Dois Unidos,Passarinho,Rua Coronel Pilar,311.81
Cohab,Barro,Rua São Bento,312.0
Água Fria,Bomba do Hemetério,Rua Conde De Sabugosa,315.24
Cajueiro,Porto da Madeira,Rua Para,315.29
Encruzilhada,Ponto de Parada,Rua Salvador De Sa,315.99
Madalena,Prado,Rua Quatro De Outubro,318.95
Afogados,Bongi,Rua Santa Edwirges,319.42
Madalena,Prado,Rua Professor Lins E Silva,320.61
Ilha do Retiro,Madalena,Rua Joao Ivo Da Silva,321.53
Bongi,Mustardinha,Rua Moreira Reis,323.28
Alto Santa Teresinha,Alto José Bonifácio,Rua Tamboara,324.0
Coqueiral,Totó,Rua Limite De Municipio,325.02
Apipucos,Dois Irmãos,Entrada Br 101-Avenida Norte,325.98
Alto José Bonifácio,Vasco da Gama,Rua Alto Do Bambui,328.44
Cajueiro,Porto da Madeira,Rua Belo Horizonte,330.19
Cordeiro,Zumbi,Rua Padre Leonardo Greco,330.27
Afogados,Mustardinha,Rua Mario Libanio,333.69
Afogados,Mangueira,Rua Luiz Figueiroa,334.76
Boa Vista,Santo Antônio,Rua Princesa Isabel,334.97
Fundão,Porto da Madeira,Rua Alto Do Benjamim,336.57
Casa Amarela,Parnamirim,Rua Desembargador Gois Cavalcante,337.32
Imbiribeira,Ipsep,Rua Jose Fernandes Portugal,338.65
Boa Viagem,Imbiribeira,Rua Barao De Tefe,338.91
Derby,Paissandu,Rua Viscondessa Do Livramento,340.09
Bongi,Prado,Rua Joaquim Da Silva Caldas,341.15
Graças,Rosarinho,Rua Capitao Sampaio Xavier,341.2
Brejo de Beberibe,Passarinho,Rua So Nos Dois,342.11
Madalena,Torre,Rua Padre Landim,342.45
