bairro_normalizado,total_empresas,top_3_atividades,microrregiao
Morro Da Conceicao,67,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 21}, {'atividade': 'EDUCACAO', 'quantidade': 12}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 7}]",3.2
Mustardinha,166,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 71}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 11}, {'atividade': 'SAUDE', 'quantidade': 11}]",5.1
Nova Descoberta,207,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 117}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 13}, {'atividade': 'EDUCACAO', 'quantidade': 12}]",3.3
Paissandu,952,"[{'atividade': 'SAUDE', 'quantidade': 203}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 93}, {'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 82}]",1.2
Parnamirim,960,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 314}, {'atividade': 'SAUDE', 'quantidade': 68}, {'atividade': 'EDUCACAO', 'quantidade': 58}]",3.1
Passarinho,70,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 17}, {'atividade': 'COMERCIO ATACADISTA', 'quantidade': 11}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 8}]",3.3
Peixinhos,6,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 2}, {'atividade': 'EDUCACAO', 'quantidade': 2}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 1}]",2.1
Pina,7205,"[{'atividade': 'SAUDE', 'quantidade': 1028}, {'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 931}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 753}]",6.1
Poco,2771,"[{'atividade': 'SAUDE', 'quantidade': 316}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 307}, {'atividade': 'EDUCACAO', 'quantidade': 275}]",3.1
Ponto De Parada,89,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 21}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 8}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 6}]",2.1
Porto Da Madeira,100,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 40}, {'atividade': 'EDUCACAO', 'quantidade': 7}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 6}]",2.2
Prado,556,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 77}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 69}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 47}]",4.1
Recife,3264,"[{'atividade': 'SERVICOS DE INFORMATICA', 'quantidade': 901}, {'atividade': 'EDUCACAO', 'quantidade': 265}, {'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 236}]",1.1
Rosarinho,185,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 51}, {'atividade': 'EDUCACAO', 'quantidade': 24}, {'atividade': 'BELEZA E HIGIENE PESSOAL', 'quantidade': 13}]",2.1
