bairro_normalizado,total_empresas,top_3_atividades,microrregiao,grau,centralidade_grau,centralidade_closeness,centralidade_betweenness,cluster_conectividade,top_20_percent
Fundao,77,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 33}, {'atividade': 'EDUCACAO', 'quantidade': 7}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 5}]",2.2,0,0.0,0.0,0.0,-1,False
Gracas,4055,"[{'atividade': 'SAUDE', 'quantidade': 583}, {'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 544}, {'atividade': 'EDUCACAO', 'quantidade': 422}]",3.1,0,0.0,0.0,0.0,-1,False
Guabiraba,95,"[{'atividade': 'INDUSTRIA GERAL', 'quantidade': 18}, {'atividade': 'COMERCIO ATACADISTA', 'quantidade': 16}, {'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 12}]",3.3,5,0.053763440860215055,0.20261437908496732,0.17318435754189945,73,False
Hipodromo,143,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 23}, {'atividade': 'EDUCACAO', 'quantidade': 23}, {'atividade': 'OUTROS SERVICOS', 'quantidade': 18}]",2.1,0,0.0,0.0,0.0,-1,False
Ibura,1071,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 287}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 120}, {'atividade': 'TRANSPORTE E COMUNICACAO', 'quantidade': 106}]",6.2,7,0.07526881720430108,0.1894093686354379,0.5865921787709497,50,True
Ilha Do Leite,1398,"[{'atividade': 'SAUDE', 'quantidade': 276}, {'atividade': 'JURIDICO, ECONOMICO E TECNICO ADMINISTRATIVO', 'quantidade': 167}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 158}]",1.2,0,0.0,0.0,0.0,-1,False
Ilha Do Retiro,424,"[{'atividade': 'INSTITUICOES FINANCEIRAS E SECURITARIAS', 'quantidade': 42}, {'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 39}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 37}]",4.1,0,0.0,0.0,0.0,-1,False
Ilha Joana Bezerra,24,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 8}, {'atividade': 'EDUCACAO', 'quantidade': 4}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 3}]",1.3,3,0.03225806451612903,0.22627737226277372,0.37988826815642457,0,False
Imbiribeira,4652,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 559}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 451}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 385}]",6.1,5,0.053763440860215055,0.2085201793721973,0.6089385474860335,46,False
Ipsep,789,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 182}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 100}, {'atividade': 'ELETRODOMESTICO, VEICULO, PECAS E ACESSORIOS', 'quantidade': 63}]",6.1,4,0.043010752688172046,0.1882591093117409,0.5195530726256983,21,False
Iputinga,1239,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 267}, {'atividade': 'OUTROS SERVICOS', 'quantidade': 104}, {'atividade': 'EDUCACAO', 'quantidade': 81}]",4.1,5,0.053763440860215055,0.24866310160427807,0.4748603351955307,69,False
Jaqueira,95,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 25}, {'atividade': 'SAUDE', 'quantidade': 16}, {'atividade': 'EDUCACAO', 'quantidade': 12}]",3.1,4,0.043010752688172046,0.25833333333333336,0.19553072625698323,37,False
Jardim Sao Paulo,691,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 172}, {'atividade': 'SAUDE', 'quantidade': 62}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 53}]",5.3,0,0.0,0.0,0.0,-1,False
Jiquia,177,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 41}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 32}, {'atividade': 'COMERCIO ATACADISTA', 'quantidade': 19}]",5.2,0,0.0,0.0,0.0,-1,False
Jordao,289,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 88}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 27}, {'atividade': 'COMERCIO ATACADISTA', 'quantidade': 25}]",6.2,0,0.0,0.0,0.0,-1,False
Linha Do Tiro,94,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 34}, {'atividade': 'EDUCACAO', 'quantidade': 12}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 10}]",2.2 / 2.3,0,0.0,0.0,0.0,-1,False
Macaxeira,117,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 30}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 15}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 11}]",3.3,4,0.043010752688172046,0.2152777777777778,0.25139664804469275,25,False
Madalena,2221,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 353}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 185}, {'atividade': 'EDUCACAO', 'quantidade': 168}]",4.1,6,0.06451612903225806,0.28353658536585363,0.6815642458100558,14,False
Mangabeira,52,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 14}, {'atividade': 'SERVICOS PUBLICOS, COMUNITARIOS E SOCIAIS', 'quantidade': 6}, {'atividade': 'FOTOGRAFICO, CINEMATOGRAFICO, REPROGRAFICO', 'quantidade': 5}]",3.2,5,0.053763440860215055,0.24866310160427807,0.7653631284916201,42,False
Mangueira,95,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 34}, {'atividade': 'COMERCIO ATACADISTA', 'quantidade': 9}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 8}]",5.1,4,0.043010752688172046,0.22142857142857142,0.25139664804469275,28,False
Monteiro,70,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 16}, {'atividade': 'CONSTRUCAO CIVIL', 'quantidade': 9}, {'atividade': 'OUTROS SERVICOS', 'quantidade': 7}]",3.1,4,0.043010752688172046,0.23425692695214106,0.29608938547486036,3,False
Morro Da Conceicao,67,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 21}, {'atividade': 'EDUCACAO', 'quantidade': 12}, {'atividade': 'CONSERVAÇÃO E LIMPEZA', 'quantidade': 7}]",3.2,0,0.0,0.0,0.0,-1,False
Mustardinha,166,"[{'atividade': 'OUTRAS ATIVIDADES VAREJISTAS', 'quantidade': 71}, {'atividade': 'INDUSTRIA GERAL', 'quantidade': 11}, {'atividade': 'SAUDE', 'quantidade': 11}]",5.1,4,0.043010752688172046,0.22037914691943128,0.2122905027932961,35,False
